_id,address,addressname,transactioncount,internaltxcount,addresstype
637605e82ae825a9f887777c,0x3f9a2c7b4884f0fa4bb7b1f0f53a491d6c50a819,WEMIX Deployer,103,100,External Owned Account
637605e92ae825a9f8877792,0x56e8c1463c341abf8b168c3079ea41ce8a387e18,GC:Post Voyager (cocone),4,0,Consensus Node
637605e92ae825a9f8877793,0x58f43eee8d6ac46e0b9889b33f6effaa0845b1ba,Reward: Yeahmobi,118,29,External Owned Account
637605e92ae825a9f8877794,0x591dd6776e05411d420a4e97e65fbec19a85f169,Bittrex Controller,5908,41384,Contract
637605e92ae825a9f8877795,0x5b95b38b29aba310cdc71debbba1d56c8711d2d2,CN:Celltrion 2,23,38,Contract
637605eb2ae825a9f88777ab,0x8adb020e1a1de402ee2e91805e771b70e79c4bcb,OKX 1,69565,0,External Owned Account
637605ec2ae825a9f88777bf,0xb67098426cc415991b71fd073a5a3f79c5866dbe,Kakao Wallet,40293822,40293822,Contract
637605ec2ae825a9f88777c9,0xc555a7ee3612b28114999cb2e41e359288c27b3c,Coinone FeePayer,4,1,External Owned Account
637605ec2ae825a9f88777ca,0xc9f10941081dfeaff9be80b7311c449e0f5f94ce,GC:Kakao Pay 2,2,0,External Owned Account
637605ec2ae825a9f88777cd,0xcad45055c3127a93703f6a8f69da81da6d290d94,CN:LX International 1,54,81,Contract
637605ec2ae825a9f88777d5,0xdc465a6ec28bd5b4eb33675b3f55420a86bda3d0,CN:Kakao Entertainment 1,14,31,Contract
637605ee2ae825a9f88777f6,0x0d3aca076712de598df856cecef76dad38f0a75b,CN:Neoply 2,23668,54618,Contract
637605ee2ae825a9f88777f7,0x10f0eaa52a474f0605afbb8c17bb9189e6ed006c,KAS FeePayer,16,0,External Owned Account
637605ee2ae825a9f88777f8,0x1390eab3ad2e674646a8f92460098886409fd57b,GC:Maekyung Media Group,3,0,Consensus Node
637605ee2ae825a9f88777fe,0x1e0049783f008a0085193e00003d00cd54003c71, OpenSea Conduit,1,55026,Contract
637605ef2ae825a9f8877824,0x6981705d156d6fb7bef67914a670de81be233d33,Pala Deployer,3852,3772,External Owned Account
637605ef2ae825a9f8877825,0x69dec71aea51d628b02061cf28525f3e3f15d1d1,CN: Quantstamp,5,18,Contract
637605ef2ae825a9f8877826,0x6e7b5c01b210a6238df15c5a2d8238e22001496a,Definix Deployer,40,32,External Owned Account
637605ef2ae825a9f887782e,0x7d7e63dc7929f70c3ded02d1835a891a96f5a972,Bithumb Deposit,7,1,External Owned Account
637605f02ae825a9f8877849,0xd13fcb553ea18b60390964107ea38a9b0cd879dc,CN: PUBG,8,23,Contract
637605f02ae825a9f887784c,0xdedbab7de9551a2bee78792638af67d59b8675c6,Reward: Post Voyager (cocone),65,35,External Owned Account
637605f02ae825a9f887784f,0xe93a890fb7ec5e993b1a7fd77b0d13a0763eff3d,GC:Neoply 1,3,0,Consensus Node
